Percent Black or African American alone,Percent White,Percent Hispanic or Latino,Share of properties at risk of flood in 30 years,Percent pre-1960s housing (lead paint indicator),Share of the tract's land area that is covered by impervious surface or cropland as a percent,Percent of individuals < 100% Federal Poverty Line
0.08,0.72,0.15,13.0,9.0,903.0,14.0
0.05,0.58,0.3,16.0,13.0,271.0,26.0
0.08,0.62,0.28,15.0,33.0,622.0,25.0
0.21,0.66,0.11,16.0,27.0,595.0,16.0
0.12,0.84,0.0,12.0,17.0,632.0,13.0
0.21,0.73,0.01,15.0,19.0,563.0,21.0
0.38,0.57,0.04,9.0,19.0,2954.0,14.0
0.38,0.55,0.03,5.0,14.0,2971.0,23.0
0.32,0.66,0.0,10.0,20.0,5022.0,24.0
0.04,0.88,0.04,24.0,2.0,333.0,19.0
0.11,0.77,0.07,12.0,2.0,786.0,12.0
0.31,0.43,0.14,8.0,9.0,449.0,19.0
0.55,0.36,0.08,4.0,14.0,759.0,20.0
0.14,0.85,0.0,27.0,2.0,247.0,10.0
0.51,0.37,0.0,8.0,13.0,428.0,20.0
0.04,0.87,0.05,12.0,12.0,253.0,14.0
0.0,0.89,0.08,16.0,17.0,123.0,16.0
0.02,0.81,0.15,13.0,15.0,65.0,26.0
0.0,0.88,0.08,23.0,17.0,99.0,12.0
0.04,0.92,0.02,14.0,13.0,165.0,30.0
0.43,0.47,0.03,6.0,27.0,3239.0,31.0
0.68,0.3,0.0,4.0,27.0,1421.0,33.0
0.34,0.58,0.03,8.0,55.0,2189.0,20.0
0.44,0.47,0.03,0.0,64.0,3268.0,35.0
0.53,0.34,0.1,3.0,87.0,5419.0,45.0
0.68,0.28,0.03,16.0,68.0,4819.0,40.0
0.9,0.07,0.0,22.0,60.0,6765.0,32.0
0.91,0.05,0.02,8.0,57.0,5934.0,39.0
0.35,0.52,0.03,7.0,70.0,4879.0,18.0
0.04,0.86,0.05,3.0,77.0,3892.0,10.0
0.57,0.37,0.03,4.0,43.0,4015.0,27.0
0.57,0.35,0.05,4.0,66.0,4304.0,20.0
0.92,0.02,0.02,5.0,68.0,5669.0,31.0
0.95,0.04,0.0,7.0,70.0,4902.0,22.0
0.82,0.13,0.02,12.0,15.0,3552.0,32.0
0.2,0.75,0.02,10.0,43.0,1907.0,5.0
0.12,0.82,0.02,14.0,42.0,1704.0,12.0
0.22,0.52,0.03,11.0,0.0,2926.0,18.0
0.17,0.74,0.06,15.0,7.0,3526.0,12.0
0.43,0.46,0.06,11.0,5.0,4315.0,5.0
0.31,0.51,0.03,11.0,7.0,3502.0,13.0
0.13,0.74,0.04,14.0,7.0,2215.0,2.0
0.65,0.26,0.01,11.0,10.0,5155.0,18.0
0.59,0.29,0.05,4.0,3.0,2517.0,15.0
0.8,0.13,0.05,14.0,50.0,4254.0,40.0
0.85,0.1,0.01,13.0,62.0,4914.0,56.0
0.7,0.22,0.04,5.0,17.0,2580.0,31.0
0.66,0.29,0.01,8.0,33.0,3421.0,35.0
0.81,0.16,0.0,6.0,40.0,2931.0,21.0
0.66,0.27,0.01,17.0,36.0,3265.0,24.0
0.66,0.27,0.02,11.0,14.0,2977.0,38.0
0.5,0.43,0.05,24.0,42.0,3967.0,26.0
0.66,0.3,0.01,3.0,33.0,3202.0,42.0
0.82,0.12,0.01,10.0,8.0,3657.0,27.0
0.84,0.13,0.02,12.0,5.0,1841.0,30.0
0.93,0.04,0.01,44.0,25.0,2395.0,44.0
0.56,0.35,0.03,4.0,6.0,1978.0,22.0
0.78,0.1,0.02,6.0,1.0,2083.0,15.0
0.76,0.03,0.11,4.0,3.0,1651.0,18.0
0.89,0.05,0.07,4.0,0.0,2290.0,10.0
0.52,0.27,0.1,2.0,1.0,2549.0,23.0
0.63,0.21,0.07,5.0,1.0,1576.0,18.0
0.85,0.07,0.05,2.0,5.0,2818.0,12.0
0.23,0.47,0.18,0.0,13.0,675.0,11.0
0.25,0.61,0.06,4.0,4.0,1322.0,16.0
0.32,0.55,0.06,6.0,10.0,1107.0,18.0
0.12,0.82,0.01,4.0,2.0,662.0,34.0
0.32,0.64,0.07,5.0,5.0,1076.0,17.0
0.36,0.58,0.02,11.0,48.0,6962.0,42.0
0.27,0.61,0.13,6.0,7.0,430.0,5.0
0.39,0.56,0.06,7.0,10.0,486.0,2.0
0.23,0.19,0.55,5.0,8.0,1605.0,34.0
0.62,0.23,0.08,5.0,0.0,915.0,13.0
0.59,0.22,0.14,7.0,13.0,3085.0,25.0
0.66,0.22,0.08,7.0,1.0,2572.0,16.0
0.71,0.2,0.02,5.0,2.0,1737.0,8.0
0.71,0.15,0.05,7.0,1.0,2391.0,8.0
0.62,0.26,0.07,4.0,9.0,2671.0,18.0
0.59,0.21,0.18,4.0,3.0,1665.0,27.0
0.47,0.49,0.0,3.0,1.0,325.0,5.0
0.48,0.43,0.02,7.0,1.0,917.0,10.0
0.5,0.4,0.06,5.0,1.0,401.0,3.0
0.43,0.42,0.07,3.0,0.0,1187.0,6.0
0.43,0.53,0.02,4.0,0.0,1002.0,9.0
0.34,0.61,0.03,6.0,15.0,1064.0,23.0
0.13,0.76,0.1,6.0,12.0,1531.0,9.0
0.45,0.49,0.0,9.0,21.0,2152.0,16.0
0.54,0.41,0.01,4.0,18.0,1519.0,19.0
0.35,0.6,0.03,10.0,25.0,1735.0,25.0
0.34,0.61,0.02,12.0,25.0,2364.0,28.0
0.35,0.6,0.0,12.0,24.0,2653.0,17.0
0.1,0.82,0.05,22.0,10.0,5476.0,19.0
0.54,0.4,0.02,20.0,13.0,6621.0,30.0
0.29,0.65,0.01,26.0,7.0,5792.0,19.0
0.13,0.76,0.06,4.0,9.0,529.0,22.0
0.15,0.78,0.0,2.0,2.0,497.0,5.0
0.72,0.22,0.05,5.0,34.0,450.0,29.0
0.55,0.35,0.06,3.0,48.0,1621.0,36.0
0.42,0.45,0.09,4.0,5.0,1007.0,18.0
0.03,0.92,0.02,6.0,14.0,380.0,9.0
0.52,0.42,0.03,4.0,15.0,1019.0,12.0
0.69,0.18,0.1,4.0,38.0,2169.0,35.0
0.37,0.51,0.08,3.0,47.0,1682.0,28.0
0.15,0.8,0.02,4.0,10.0,656.0,11.0
0.15,0.78,0.02,8.0,40.0,1178.0,9.0
0.27,0.64,0.02,4.0,17.0,1444.0,14.0
0.1,0.82,0.03,8.0,22.0,302.0,11.0
0.04,0.93,0.01,4.0,5.0,341.0,11.0
0.34,0.51,0.06,7.0,39.0,1660.0,26.0
0.1,0.84,0.04,7.0,18.0,1581.0,10.0
0.09,0.87,0.02,5.0,16.0,401.0,10.0
0.58,0.35,0.0,3.0,18.0,1150.0,20.0
0.5,0.18,0.26,6.0,22.0,443.0,44.0
0.28,0.59,0.11,7.0,13.0,2499.0,15.0
0.55,0.27,0.09,7.0,11.0,2856.0,19.0
0.72,0.24,0.01,7.0,10.0,2746.0,28.0
0.29,0.6,0.09,5.0,27.0,2967.0,25.0
0.45,0.5,0.02,5.0,25.0,3753.0,18.0
0.47,0.46,0.04,7.0,59.0,4225.0,43.0
0.5,0.38,0.08,5.0,11.0,4172.0,36.0
0.37,0.58,0.02,25.0,17.0,5256.0,20.0
0.49,0.48,0.01,7.0,13.0,113.0,18.0
0.7,0.27,0.0,7.0,15.0,75.0,15.0
0.5,0.48,0.0,7.0,13.0,209.0,24.0
0.62,0.32,0.03,6.0,28.0,189.0,21.0
0.14,0.82,0.02,6.0,22.0,2717.0,20.0
0.32,0.55,0.1,2.0,13.0,1582.0,28.0
0.36,0.39,0.2,15.0,9.0,1855.0,27.0
0.38,0.52,0.08,3.0,20.0,2280.0,21.0
0.12,0.79,0.08,8.0,17.0,1223.0,18.0
0.16,0.79,0.02,9.0,12.0,956.0,21.0
0.36,0.53,0.07,8.0,24.0,2529.0,23.0
0.44,0.52,0.0,6.0,6.0,1149.0,28.0
0.45,0.42,0.15,5.0,22.0,1241.0,35.0
0.11,0.83,0.03,8.0,28.0,1905.0,15.0
0.41,0.57,0.0,8.0,18.0,1350.0,16.0
0.33,0.58,0.01,5.0,32.0,3396.0,18.0
0.8,0.18,0.0,3.0,32.0,4541.0,36.0
0.67,0.26,0.0,6.0,27.0,3828.0,42.0
0.31,0.63,0.14,10.0,17.0,3609.0,19.0
0.44,0.46,0.12,3.0,28.0,3669.0,32.0
0.16,0.78,0.0,6.0,10.0,2513.0,15.0
0.24,0.66,0.06,6.0,17.0,4279.0,26.0
0.2,0.7,0.03,3.0,20.0,5090.0,13.0
0.25,0.67,0.04,4.0,3.0,2261.0,10.0
0.32,0.62,0.03,6.0,19.0,2507.0,11.0
0.61,0.32,0.01,8.0,37.0,1244.0,33.0
0.52,0.42,0.04,4.0,23.0,765.0,23.0
0.47,0.46,0.01,4.0,33.0,1764.0,18.0
0.21,0.75,0.03,9.0,9.0,1073.0,11.0
0.36,0.55,0.08,6.0,20.0,2120.0,22.0
0.01,0.94,0.02,5.0,9.0,4140.0,4.0
0.17,0.76,0.05,6.0,8.0,4588.0,13.0
0.18,0.69,0.06,7.0,16.0,3765.0,18.0
0.19,0.57,0.21,8.0,18.0,3848.0,30.0
0.03,0.91,0.02,5.0,16.0,3790.0,6.0
0.69,0.11,0.17,8.0,10.0,3930.0,32.0
0.56,0.31,0.07,7.0,21.0,3080.0,39.0
0.09,0.48,0.37,5.0,18.0,5314.0,27.0
0.29,0.66,0.02,5.0,7.0,4971.0,17.0
0.25,0.62,0.09,6.0,26.0,1905.0,26.0
0.38,0.54,0.06,8.0,13.0,1287.0,20.0
0.32,0.55,0.1,4.0,10.0,1920.0,9.0
0.19,0.55,0.18,2.0,15.0,2187.0,30.0
0.12,0.65,0.18,4.0,13.0,1760.0,42.0
0.13,0.76,0.08,11.0,17.0,2296.0,19.0
0.02,0.89,0.05,9.0,11.0,542.0,19.0
0.01,0.98,0.0,25.0,6.0,163.0,16.0
0.0,0.95,0.01,15.0,9.0,172.0,10.0
0.01,0.95,0.03,6.0,8.0,1032.0,31.0
0.35,0.63,0.0,6.0,21.0,1089.0,25.0
0.25,0.66,0.06,5.0,38.0,185.0,20.0
0.13,0.71,0.02,6.0,5.0,149.0,9.0
0.18,0.77,0.0,7.0,5.0,65.0,8.0
0.04,0.89,0.04,5.0,23.0,334.0,10.0
0.43,0.49,0.02,6.0,22.0,848.0,27.0
0.46,0.49,0.02,7.0,27.0,2090.0,28.0
0.37,0.49,0.02,6.0,8.0,377.0,20.0
0.58,0.31,0.04,8.0,27.0,642.0,27.0
0.34,0.55,0.06,4.0,28.0,599.0,20.0
0.6,0.33,0.04,6.0,69.0,3448.0,49.0
0.61,0.28,0.05,5.0,36.0,2029.0,28.0
0.18,0.79,0.01,6.0,9.0,434.0,10.0
0.49,0.45,0.04,8.0,22.0,400.0,21.0
0.21,0.74,0.02,5.0,16.0,189.0,9.0
0.57,0.41,0.01,5.0,31.0,3399.0,36.0
0.15,0.72,0.09,6.0,31.0,4485.0,29.0
0.37,0.59,0.01,7.0,14.0,259.0,18.0
0.49,0.49,0.0,8.0,19.0,1231.0,20.0
0.0,0.96,0.01,6.0,8.0,364.0,15.0
0.0,0.9,0.03,7.0,7.0,355.0,19.0
0.0,0.97,0.0,14.0,6.0,128.0,13.0
0.0,0.98,0.0,26.0,2.0,275.0,15.0
0.0,0.92,0.07,8.0,6.0,682.0,12.0
0.01,0.92,0.03,13.0,2.0,653.0,9.0
0.13,0.85,0.0,5.0,20.0,453.0,11.0
0.25,0.65,0.0,5.0,31.0,904.0,23.0
0.03,0.91,0.0,6.0,24.0,302.0,24.0
0.03,0.92,0.0,7.0,21.0,145.0,12.0
0.33,0.56,0.05,6.0,55.0,550.0,29.0
0.56,0.43,0.03,5.0,29.0,1237.0,21.0
0.5,0.48,0.0,8.0,13.0,101.0,12.0
0.01,0.94,0.02,13.0,44.0,1139.0,23.0
0.11,0.82,0.0,11.0,61.0,2400.0,30.0
0.05,0.86,0.06,17.0,27.0,907.0,24.0
0.03,0.89,0.06,13.0,29.0,631.0,7.0
0.01,0.94,0.01,5.0,42.0,134.0,4.0
0.01,0.98,0.0,17.0,27.0,1002.0,14.0
0.04,0.93,0.0,14.0,18.0,333.0,6.0
0.03,0.88,0.04,9.0,14.0,750.0,9.0
0.02,0.91,0.01,9.0,13.0,665.0,21.0
0.08,0.8,0.02,10.0,33.0,1746.0,26.0
0.06,0.89,0.0,9.0,14.0,528.0,17.0
0.01,0.97,0.0,14.0,14.0,647.0,9.0
0.04,0.94,0.0,12.0,11.0,585.0,14.0
0.07,0.81,0.08,3.0,7.0,748.0,4.0
0.08,0.88,0.02,4.0,16.0,1151.0,8.0
0.44,0.52,0.01,3.0,20.0,1448.0,29.0
0.47,0.46,0.01,3.0,5.0,1032.0,25.0
0.08,0.86,0.01,2.0,3.0,833.0,5.0
0.08,0.7,0.14,2.0,11.0,1854.0,11.0
0.14,0.8,0.02,1.0,1.0,640.0,10.0
0.11,0.81,0.03,2.0,2.0,986.0,8.0
0.17,0.71,0.03,3.0,2.0,1051.0,9.0
0.14,0.79,0.05,4.0,2.0,1318.0,10.0
0.11,0.79,0.03,3.0,0.0,669.0,9.0
0.02,0.92,0.01,4.0,5.0,567.0,9.0
0.04,0.85,0.05,3.0,3.0,861.0,9.0
0.22,0.71,0.03,2.0,11.0,1043.0,14.0
0.26,0.67,0.05,3.0,11.0,866.0,12.0
0.07,0.75,0.19,11.0,30.0,1679.0,15.0
0.23,0.72,0.02,7.0,11.0,1343.0,24.0
0.23,0.62,0.06,4.0,39.0,2487.0,18.0
0.86,0.08,0.02,5.0,45.0,3863.0,51.0
0.3,0.65,0.0,8.0,28.0,1767.0,10.0
0.18,0.77,0.0,4.0,23.0,1577.0,20.0
0.76,0.2,0.0,8.0,50.0,3829.0,43.0
0.32,0.57,0.09,17.0,29.0,209.0,34.0
0.2,0.7,0.06,9.0,24.0,335.0,17.0
0.65,0.32,0.0,4.0,25.0,1077.0,37.0
0.56,0.42,0.0,3.0,19.0,350.0,16.0
0.29,0.63,0.01,6.0,19.0,370.0,11.0
0.55,0.42,0.01,5.0,22.0,512.0,29.0
0.6,0.35,0.02,8.0,16.0,1207.0,18.0
0.5,0.42,0.05,5.0,18.0,1647.0,21.0
0.56,0.4,0.01,5.0,31.0,1037.0,24.0
0.01,0.94,0.0,7.0,19.0,1353.0,8.0
0.15,0.77,0.05,8.0,14.0,1247.0,14.0
0.38,0.52,0.06,5.0,27.0,1295.0,20.0
0.06,0.88,0.03,5.0,15.0,1995.0,11.0
0.35,0.48,0.15,4.0,28.0,1055.0,14.0
0.06,0.89,0.0,8.0,13.0,209.0,18.0
0.34,0.53,0.12,4.0,11.0,885.0,23.0
0.4,0.5,0.05,5.0,19.0,3142.0,21.0
0.28,0.7,0.0,12.0,19.0,1049.0,18.0
0.5,0.49,0.0,7.0,30.0,1083.0,29.0
0.0,0.92,0.03,18.0,7.0,160.0,6.0
0.03,0.91,0.02,9.0,4.0,613.0,16.0
0.0,0.92,0.03,10.0,7.0,220.0,7.0
0.0,0.9,0.02,16.0,3.0,169.0,9.0
0.0,0.94,0.03,9.0,7.0,810.0,8.0
0.0,0.89,0.07,10.0,5.0,413.0,14.0
0.01,0.81,0.13,10.0,3.0,647.0,11.0
0.01,0.77,0.2,8.0,10.0,671.0,13.0
0.01,0.41,0.49,10.0,13.0,1000.0,25.0
0.07,0.55,0.35,9.0,11.0,985.0,10.0
0.04,0.27,0.67,7.0,11.0,2068.0,27.0
0.05,0.71,0.18,15.0,1.0,941.0,13.0
0.07,0.48,0.4,11.0,13.0,4588.0,25.0
0.01,0.88,0.09,7.0,11.0,879.0,8.0
0.05,0.89,0.03,7.0,9.0,493.0,15.0
0.03,0.74,0.13,11.0,3.0,495.0,6.0
0.01,0.61,0.32,11.0,36.0,2634.0,14.0
0.06,0.16,0.75,6.0,29.0,3209.0,26.0
0.01,0.47,0.49,7.0,16.0,766.0,23.0
0.07,0.35,0.57,8.0,15.0,2172.0,13.0
0.05,0.27,0.67,5.0,23.0,4207.0,20.0
0.0,0.54,0.42,17.0,26.0,2628.0,9.0
0.02,0.7,0.23,10.0,8.0,927.0,13.0
0.49,0.43,0.06,11.0,18.0,1617.0,33.0
0.34,0.61,0.02,9.0,26.0,2869.0,26.0
0.07,0.81,0.07,7.0,23.0,3998.0,12.0
0.28,0.69,0.0,7.0,31.0,3501.0,22.0
0.4,0.57,0.0,4.0,24.0,396.0,20.0
0.28,0.53,0.17,5.0,15.0,421.0,34.0
0.23,0.7,0.06,2.0,30.0,340.0,6.0
0.58,0.38,0.0,2.0,19.0,340.0,28.0
0.53,0.4,0.05,5.0,13.0,303.0,17.0
0.35,0.6,0.01,7.0,15.0,401.0,27.0
0.26,0.71,0.01,7.0,32.0,371.0,21.0
0.18,0.7,0.09,17.0,22.0,3071.0,16.0
0.3,0.67,0.0,5.0,18.0,4086.0,29.0
0.2,0.77,0.0,7.0,18.0,4883.0,19.0
0.48,0.43,0.0,12.0,16.0,2759.0,9.0
0.04,0.89,0.04,6.0,12.0,3616.0,8.0
0.0,0.25,0.12,10.0,34.0,,20.0
0.0,0.19,0.12,14.0,32.0,,13.0
0.01,0.25,0.22,56.0,27.0,,33.0
0.01,0.22,0.15,91.0,25.0,,31.0
0.0,0.13,0.2,78.0,22.0,,39.0
0.0,0.09,0.09,50.0,14.0,,13.0
0.0,0.11,0.06,43.0,28.0,,18.0
0.0,0.1,0.07,78.0,8.0,,4.0
0.0,0.15,0.08,52.0,5.0,,7.0
0.02,0.25,0.08,44.0,24.0,,4.0
0.0,0.2,0.08,56.0,8.0,,9.0
0.0,0.26,0.27,45.0,1.0,,25.0
0.0,0.35,0.07,40.0,1.0,,10.0
0.0,0.37,0.16,44.0,1.0,,21.0
0.0,0.28,0.27,21.0,16.0,,23.0
0.0,0.16,0.05,48.0,18.0,,21.0
0.0,0.64,0.09,26.0,1.0,,29.0
0.0,0.35,0.21,25.0,7.0,,19.0
0.0,0.27,0.2,26.0,14.0,,33.0
0.01,0.39,0.13,30.0,16.0,,14.0
0.0,0.19,0.1,22.0,17.0,,9.0
0.0,0.41,0.13,23.0,14.0,,10.0
0.0,0.15,0.1,29.0,0.0,,11.0
0.0,0.41,0.06,24.0,0.0,,7.0
0.0,0.47,0.06,40.0,3.0,,12.0
0.0,0.35,0.15,53.0,3.0,,8.0
0.03,0.5,0.07,25.0,1.0,,7.0
0.0,0.23,0.05,26.0,10.0,,10.0
0.01,0.47,0.14,25.0,0.0,,9.0
0.0,0.32,0.13,12.0,16.0,,14.0
0.0,0.21,0.19,30.0,44.0,,9.0
0.0,0.26,0.11,25.0,51.0,,13.0
0.02,0.32,0.08,13.0,48.0,,19.0
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
,,,,0.0,,
0.0,0.27,0.07,25.0,0.0,,3.0
0.0,0.25,0.06,21.0,0.0,,3.0
0.05,0.37,0.04,20.0,2.0,,4.0
0.0,0.26,0.05,23.0,2.0,,3.0
0.0,0.19,0.03,15.0,2.0,,2.0
0.0,0.25,0.07,10.0,6.0,,2.0
0.03,0.49,0.01,16.0,12.0,,6.0
0.0,0.22,0.0,68.0,31.0,,2.0
0.01,0.27,0.04,25.0,45.0,,4.0
0.0,0.12,0.02,41.0,75.0,,2.0
0.0,0.19,0.01,18.0,31.0,,3.0
0.0,0.21,0.0,8.0,5.0,,2.0
0.0,0.36,0.01,48.0,36.0,,7.0
0.01,0.4,0.03,7.0,33.0,,13.0
0.0,0.07,0.05,16.0,55.0,,3.0
0.0,0.17,0.03,1.0,52.0,,4.0
0.0,0.21,0.0,50.0,7.0,,2.0
0.0,0.27,0.06,2.0,63.0,,5.0
0.0,0.16,0.1,20.0,42.0,,6.0
0.01,0.13,0.06,15.0,57.0,,4.0
0.0,0.11,0.03,28.0,41.0,,16.0
0.0,0.08,0.05,7.0,42.0,,3.0
0.0,0.13,0.07,35.0,45.0,,5.0
0.0,0.13,0.08,7.0,44.0,,9.0
0.01,0.16,0.05,0.0,44.0,,3.0
0.0,0.13,0.06,7.0,50.0,,3.0
0.01,0.21,0.03,6.0,45.0,,8.0
0.0,0.53,0.08,17.0,37.0,,4.0
0.02,0.45,0.04,33.0,10.0,,17.0
0.02,0.35,0.08,38.0,6.0,,13.0
0.0,0.46,0.02,12.0,1.0,,25.0
0.0,0.58,0.07,43.0,3.0,,19.0
0.01,0.35,0.04,11.0,3.0,,9.0
0.08,0.44,0.04,16.0,11.0,,8.0
0.02,0.48,0.02,45.0,7.0,,10.0
0.01,0.39,0.06,16.0,3.0,,19.0
0.06,0.29,0.12,31.0,11.0,,9.0
0.04,0.36,0.01,41.0,18.0,,18.0
0.02,0.13,0.04,70.0,22.0,,6.0
0.02,0.1,0.09,32.0,15.0,,18.0
0.01,0.2,0.04,22.0,9.0,,9.0
0.0,0.09,0.08,59.0,16.0,,14.0
0.0,0.15,0.07,83.0,31.0,,18.0
0.02,0.12,0.08,63.0,18.0,,13.0
0.01,0.13,0.1,86.0,19.0,,20.0
0.02,0.13,0.05,27.0,21.0,,16.0
0.02,0.23,0.08,47.0,47.0,,16.0
0.0,0.13,0.11,13.0,28.0,,15.0
0.0,0.26,0.05,17.0,53.0,,5.0
0.0,0.29,0.03,38.0,21.0,,2.0
0.0,0.25,0.04,19.0,68.0,,5.0
0.0,0.16,0.02,33.0,35.0,,1.0
0.0,0.12,0.02,21.0,37.0,,2.0
0.0,0.46,0.0,12.0,55.0,,2.0
0.0,0.07,0.08,14.0,49.0,,5.0
0.05,0.21,0.06,12.0,18.0,,12.0
0.0,0.14,0.1,18.0,13.0,,14.0
0.01,0.21,0.09,24.0,16.0,,6.0
0.05,0.11,0.05,24.0,30.0,,10.0
0.0,0.18,0.03,5.0,16.0,,5.0
0.01,0.16,0.06,7.0,6.0,,12.0
0.02,0.09,0.04,33.0,7.0,,14.0
0.01,0.08,0.04,87.0,15.0,,10.0
0.03,0.07,0.05,10.0,9.0,,20.0
0.0,0.11,0.02,28.0,7.0,,9.0
0.0,0.16,0.04,90.0,8.0,,12.0
0.01,0.17,0.1,95.0,2.0,,9.0
0.01,0.29,0.04,30.0,4.0,,20.0
0.02,0.37,0.08,15.0,2.0,,12.0
0.0,0.15,0.06,10.0,14.0,,13.0
0.0,0.2,0.04,1.0,9.0,,9.0
0.02,0.09,0.11,22.0,34.0,,8.0
0.0,0.06,0.04,27.0,47.0,,3.0
0.01,0.18,0.06,22.0,37.0,,6.0
0.0,0.09,0.02,18.0,50.0,,3.0
0.0,0.09,0.07,6.0,47.0,,5.0
0.0,0.05,0.06,19.0,48.0,,9.0
0.0,0.05,0.09,6.0,31.0,,8.0
0.0,0.11,0.07,19.0,20.0,,12.0
0.01,0.12,0.01,4.0,2.0,,25.0
0.06,0.06,0.03,12.0,13.0,,29.0
0.01,0.07,0.06,8.0,18.0,,21.0
0.0,0.0,0.09,1.0,61.0,,32.0
0.01,0.05,0.07,9.0,23.0,,18.0
0.0,0.01,0.09,28.0,26.0,,15.0
0.02,0.11,0.08,63.0,17.0,,35.0
0.0,0.01,0.07,1.0,19.0,,16.0
0.02,0.06,0.14,26.0,18.0,,7.0
0.0,0.04,0.0,7.0,42.0,,11.0
0.0,0.0,0.12,8.0,35.0,,3.0
0.0,0.05,0.06,5.0,36.0,,19.0
0.0,0.04,0.02,0.0,25.0,,38.0
0.0,0.03,0.11,18.0,52.0,,7.0
0.0,0.01,0.05,0.0,56.0,,36.0
0.0,0.01,0.19,10.0,43.0,,7.0
0.01,0.03,0.07,20.0,39.0,,5.0
0.0,0.05,0.18,22.0,44.0,,5.0
0.12,0.66,0.11,2.0,23.0,,9.0
0.0,0.08,0.06,34.0,16.0,,5.0
0.09,0.25,0.19,0.0,13.0,,18.0
0.0,0.05,0.06,1.0,56.0,,5.0
0.24,0.36,0.21,0.0,0.0,,0.0
0.01,0.12,0.04,6.0,1.0,,5.0
0.0,0.02,0.03,13.0,4.0,,1.0
0.03,0.1,0.07,1.0,2.0,,13.0
0.02,0.09,0.02,0.0,8.0,,7.0
0.17,0.5,0.17,0.0,6.0,,9.0
0.1,0.42,0.19,0.0,5.0,,7.0
0.07,0.47,0.23,2.0,0.0,,1.0
0.09,0.56,0.22,1.0,34.0,,1.0
0.1,0.65,0.16,0.0,0.0,,
0.13,0.57,0.19,8.0,26.0,,1.0
0.09,0.26,0.14,15.0,0.0,,6.0
0.0,0.07,0.05,11.0,26.0,,4.0
0.01,0.02,0.08,84.0,9.0,,10.0
0.03,0.13,0.08,6.0,14.0,,5.0
0.02,0.77,0.03,0.0,0.0,,11.0
0.0,0.17,0.16,32.0,30.0,,7.0
0.0,0.11,0.09,12.0,30.0,,1.0
0.01,0.01,0.04,30.0,32.0,,1.0
0.0,0.07,0.08,15.0,0.0,,4.0
0.07,0.18,0.06,1.0,1.0,,6.0
0.01,0.05,0.14,78.0,30.0,,7.0
0.01,0.06,0.04,2.0,4.0,,1.0
0.01,0.08,0.04,0.0,0.0,,1.0
0.03,0.12,0.06,22.0,12.0,,2.0
0.0,0.06,0.11,18.0,21.0,,7.0
0.01,0.07,0.09,23.0,74.0,,6.0
0.03,0.17,0.22,10.0,3.0,,6.0
0.0,0.14,0.08,6.0,5.0,,4.0
0.0,0.04,0.04,9.0,12.0,,1.0
0.0,0.03,0.04,8.0,23.0,,2.0
0.1,0.36,0.2,5.0,29.0,,2.0
0.0,0.04,0.14,9.0,8.0,,4.0
0.0,0.08,0.12,53.0,44.0,,11.0
0.02,0.09,0.08,27.0,0.0,,3.0
0.06,0.16,0.14,3.0,0.0,,3.0
0.02,0.19,0.1,4.0,0.0,,12.0
0.05,0.32,0.12,18.0,0.0,,2.0
0.02,0.13,0.13,15.0,0.0,,1.0
0.03,0.09,0.13,21.0,0.0,,4.0
0.01,0.11,0.16,45.0,2.0,,4.0
0.09,0.19,0.15,17.0,31.0,,24.0
0.0,0.1,0.11,14.0,0.0,,5.0
0.01,0.23,0.07,18.0,2.0,,3.0
0.01,0.7,0.07,9.0,0.0,,2.0
0.0,0.0,0.4,2.0,0.0,,0.0
0.06,0.26,0.17,0.0,0.0,,4.0
0.05,0.1,0.05,0.0,1.0,,1.0
0.06,0.18,0.12,9.0,4.0,,10.0
0.0,0.08,0.05,14.0,15.0,,4.0
0.0,0.11,0.06,3.0,8.0,,5.0
0.0,0.03,0.06,20.0,21.0,,7.0
0.0,0.02,0.04,54.0,19.0,,12.0
0.0,0.04,0.09,9.0,9.0,,13.0
0.0,0.02,0.04,13.0,9.0,,6.0
0.01,0.13,0.11,13.0,0.0,,6.0
0.01,0.14,0.16,14.0,5.0,,6.0
0.0,0.13,0.05,10.0,0.0,,2.0
0.01,0.11,0.17,10.0,0.0,,5.0
0.0,0.08,0.09,8.0,12.0,,11.0
0.0,0.02,0.03,23.0,15.0,,3.0
0.02,0.02,0.1,24.0,17.0,,17.0
0.02,0.12,0.13,29.0,12.0,,5.0
0.02,0.14,0.1,0.0,2.0,,3.0
0.03,0.16,0.07,3.0,1.0,,3.0
0.01,0.09,0.06,3.0,3.0,,8.0
0.0,0.04,0.12,1.0,9.0,,6.0
0.01,0.19,0.11,3.0,0.0,,3.0
0.01,0.1,0.09,11.0,0.0,,4.0
0.0,0.06,0.07,13.0,0.0,,1.0
0.02,0.05,0.06,16.0,0.0,,4.0
0.06,0.38,0.16,3.0,1.0,,5.0
0.03,0.1,0.1,0.0,0.0,,3.0
0.0,0.1,0.09,0.0,0.0,,0.0
0.01,0.09,0.05,4.0,0.0,,3.0
0.0,0.13,0.05,5.0,0.0,,0.0
0.01,0.11,0.08,1.0,0.0,,1.0
